SampleLocationName,Total_C_stock_kg_m2_0to60cm,Total_N_stock_kg_m2_0to60cm,X,Y
TL27 NonPF Core 10,16.400267826069566,0.6465681026837049,454248.159,7180065.11
TL27 NonPF Core 13,15.829051630990552,0.5253807259879666,454134.5091,7180197.471
TL27 NonPF Core 3,12.333892711169625,0.744540803938288,454827.9905,7178958.053
TL27 NonPF Core 4,5.9066207751620174,0.5539080078946392,454800.1835,7179054.213
TL27 NonPF Core 5,4.736305186878,0.37930080513593395,454702.87,7179098.696
TL27 NonPF Core 6,7.734263791507681,0.6679254348021821,454795.3518,7178932.015
TL27 NonPF Core 7,10.327506544747504,0.9021465654276124,454781.0551,7178960.205
TL27 NonPF Core 8,6.994922932363673,0.5552448160917436,454802.4897,7178928.341
TL27 NonPF Core 9,22.641247404559167,0.929826402519672,454352.6583,7179642.101
TL27 PF Core 1 ,22.67839978998751,1.3039947920427362,454923.1661,7178744.523
TL27 PF Core 11,53.58886136429016,2.3706538715373178,454168.6817,7180149.47
TL27 PF Core 12,16.702945012178244,1.0784994028037167,454149.8355,7180175.169
TL27 PF Core 14,69.7316563453532,3.77681686418894,454081.3338,7180182.565
TL27 PF Core 15,26.95041059741116,1.6860674516831655,454917.1268,7178742.05
TL27 PF Core 16,37.462344322989026,2.481838772438689,454923.3143,7178738.502
